Title,Description
"Borrow My Heart (Borrow My Heart, #1)","When a girl overhears a guy getting verbally destroyed by his friends for being catfished, she jumps in to save the day—and pretends to be his online crush. A young adult romance from the critically acclaimed author of Places We\'ve Never Been.\n\nWren is used to being called a control freak. She doesn’t care; sticking to the list of rules she created for herself helps her navigate life. But when a cute guy named Asher walks through the door of her neighborhood coffee shop, the rulebook goes out the window.\n\nAsher is cute, charming . . . and being catfished by his online crush. So Wren makes an uncharacteristically impulsive decision—she pretends to be the girl he\'s waiting for to save him from embarrassment. Suddenly she’s fake-dating a boy she knows nothing about. And it’s . . . amazing.\n\nIt\'s not long before Asher has her breaking even more of her own rules. But will he forgive her when he finds out she\'s not who she says she is? Wren\'s not so sure. . . . After all, rules exist for a reason."
"Cat Kid Comic Club: Collaborations (Cat Kid Comic Club, #4)","The Cat Kid Comic Club learns to collaborate in this creative, funny, and insightful graphic novel by Dav Pilkey, the author and illustrator of Dog Man. Excitement and imagination run wild as Naomi, Melvin, Poppy, Gilbert, Curly, and their siblings get back to making comics with originality and laughter. But wait -- have they cleaned their rooms yet?! After their chores, the rambunctious group presents even more amazing a thrilling ride in &quot;Chubbs McSpiderbutt,&quot; an action-packed romp in &quot;Frogzilla,&quot; reflective haikus in &quot;In the Autumn Pond,&quot; a candy-coated mystery in &quot;Mallo Cop,&quot; and much, much more. By working together, the baby frogs discover that small things can have a huge impact. In this innovative graphic novel series, award-winning author and illustrator Dav Pilkey employs a variety of techniques -- including origami, acrylic paints, colored pencils, photography, collage, gouache, watercolors, and more -- to capture the creative and joyful spirit of collaboration. The variety of art styles, paired with Pilkey\'s trademark storytelling and humor, inspires imagination and innovation for readers of all ages."
Hands Down,"Before he was Big Texas, he was Zac the Snack Pack.\n\nBianca Brannen knows time--mostly--heals all wounds. Including those your once loved ones might have unintentionally given you. (Those just take longer.)\n\nShe thinks she’s ready when a call has her walking back into her old friend’s life. Or at least as prepared as possible to see the starting quarterback in the National Football Organization. Before the lights, the fans, and the millions, he’d been a skinny kid with a heart of gold. \n\nWaltzing out of Zac Travis’s life should be easy. Just as easy as he walked out of hers."
The Twins of Auschwitz,"The Nazis spared their lives because they were twins.\n\nIn the summer of 1944, Eva Mozes Kor and her family arrived at Auschwitz.\n\nWithin thirty minutes, they were separated. Her parents and two older sisters were taken to the gas chambers, while Eva and her twin, Miriam, were herded into the care of the man who became known as the Angel of Death: Dr. Josef Mengele. They were 10 years old.\n\nWhile twins at Auschwitz were granted the \'privileges\' of keeping their own clothes and hair, they were also subjected to Mengele\'s sadistic medical experiments. They were forced to fight daily for their own survival and many died as a result of the experiments, or from the disease and hunger rife in the concentration camp.\n\nIn a narrative told simply, with emotion and astonishing restraint, The Twins of Auschwitz shares the inspirational story of a child\'s endurance and survival in the face of truly extraordinary evil.\n\nAlso included is an epilogue on Eva\'s incredible recovery and her remarkable decision to publicly forgive the Nazis. Through her museum and her lectures, she dedicated her life to giving testimony on the Holocaust, providing a message of hope for people who have suffered, and worked toward goals of forgiveness, peace, and the elimination of hatred and prejudice in the world."
Lady Clementine,"From Marie Benedict, the New York Times bestselling author of The Only Woman in the Room, comes an incredible novel that focuses on one of the people who had the most influence during World War I and World War II: Clementine Churchill. \n\nIn 1909, Clementine Churchill steps off a train with her new husband, Winston. An angry woman emerges from the crowd to attack, shoving him in the direction of an oncoming train. Just before he stumbles, Clementine grabs him by his suit jacket. This will not be the last time Clementine Churchill saves her husband.\n\nLady Clementine is the ferocious story of the brilliant and ambitious woman beside Winston Churchill, the story of a partner who did not flinch through the sweeping darkness of war, and who would not surrender either to expectations or to enemies."
President Garfield: From Radical to Unifier,"“An eloquent and moving biography of our twentieth President.” —James M. McPherson, Pulitzer Prize–winning author of Battle Cry of Freedom\n\n“ A meticulously researched reappraisal .” —Walter Isaacson, author of Steve Jobs\n\nThe first comprehensive biography in decades of the extraordinary, tragic life of America’s twentieth president—James Garfield.\n\nIn this magisterial biography, C.W. Goodyear charts the life and times of one of the most remarkable Americans ever to win the Presidency. Progressive firebrand and conservative compromiser; Union war hero and founder of the first Department of Education; Supreme Court attorney and abolitionist preacher; mathematician and canalman; crooked election-fixer and clean-government champion; Congressional chieftain and gentleman-farmer; the last president to be born in a log cabin; the second to be assassinated. James Abram Garfield was all these things and more.\n\nOver nearly two decades in Congress during a polarized era—Reconstruction and the Gilded Age—Garfield served as a peacemaker in a Republican Party and America defined by divisions. He was elected President to overcome them. He was killed while trying to do so.\n\nPresident Garfield is American history at its finest. It is about an impoverished boy working his way from the frontier to the Presidency; a progressive statesman, trying to raise a more righteous, peaceful Republic out of the ashes of civil war; the tragically imperfect course of that reformation, and the man himself; a martyr-President, whose death succeeded in nudging the country back to cleaner, calmer politics."
Mad Honey,"A soul-stirring novel about what we choose to keep from our past, and what we choose to leave behind.\n\nOlivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising a beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in, and taking over her father\'s beekeeping business.\n \nLily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. \n \nAnd for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet at times, she wonders if she can she trust him completely . . .\n \nThen one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in him, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her.\n \nMad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves."
"Captive (Captive, #1)","Au sein des réseaux criminels, là où règnent puissance, meurtre et pouvoir, il y avait elles. Les captives. Dangereuses, malignes et mortelles, elles sont les ombres des plus grands réseaux, les représentantes de leurs chefs, aussi appelés possesseurs.\n\nDepuis son adolescence, Ella est une captive contre son gré. John, son possesseur, préfère utiliser son corps plutôt que ses talents, plongeant sa vie dans un cauchemar éveillé. Jusqu’au jour où il lui annonce qu’elle va travailler pour quelqu’un d’autre…\n\nSi Ella pensait qu’il ne pouvait y avoir pire que John, elle réalise très vite que son nouveau possesseur joue dans une tout autre catégorie. Ce certain « Ash », leader charismatique du réseau des Scott, refuse la présence d’une captive à ses côtés. Pour une raison obscure, il voue une haine viscérale à ces femmes. Un jeu dangereux s’installe alors entre eux, car Asher entends bien faire payer Ella, mais celle-ci ne compte pas céder…\n\n« Ne joue pas avec le diable, mon ange, ne t’aventure pas dans ce que tu regretteras… »"
"Nightwing, Vol. 1: Leaping into the Light","The New York Times bestselling Injustice team of Tom Taylor and Bruno Redondo take on Nightwing!\n\nNightwing is back—and his drive to keep Blüdhaven safe has never been stronger! But his adoptive city has elected a new mayor with the last name Zucco. When Nightwing enlists Batgirl’s help in investigating the politician bearing the same name as the man who murdered his parents, she unearths details that will shock and fundamentally change the hero.\n \nDick Grayson’s big heart has protected those persecuted by bullies in his youth, combated evil alongside Batman as Robin, and pledged his newly inherited wealth to enriching Blüdhaven as Nightwing. His kindness and generosity have always guided his life. But now a new villain stalks the back alleys, removing the hearts of the city’s most vulnerable. Who is this terrifying new menace named Heartless, and will he be able to resist plucking out the biggest heart in all of Blüdhaven? \n \nCollected in this Infinite Frontier Nightwing evolution are issues #78-83."
"You&#39;ll Be Mine (Hearts Bend Collection, #2)","A return to the past sparks a new future...\n\nInternational hotel manager Ben Carter is not sticking around Hearts Bend. He\'s just home to sell the inn he inherited from his grandparents. The place holds all his best memories-especially the ones that include regular summer guest Cami Jackson. But she\'s been out of his life for years, and she\'s not coming back...\n\nReal estate developer Cami Jackson is ready to take over as VP of her father\'s company. When the Hearts Bend Inn comes on the market, she wants to swoop it up, if only because of the sweet memories of her favorite summers. The last thing she expects to find is her first love back to sign on the dotted line.\n\nBut for her father, the inn holds memories of a terrible tragedy, and he wants to kill the deal. An impulsive decision could turn into a lost-but-found dream...but only if Ben and Cami can keep the past from tearing them apart-again.\n\nA heart-healing story of second chances set in the charming town of Hearts Bend!"
Black Thorn,"Blackthorn Ashes was meant to be their forever home. For the first six families moving into the exclusive new housing development, it was a chance to live a peaceful life on the cliffs overlooking the Cornish sea, safe in the knowledge that it had been created just for them.\n\nBut six weeks later, paradise is lost. Six people are dead. And Blackthorn Ashes is left abandoned and unfinished, its dark shadows hiding all manner of secrets.\n\nOne of its surviving residents, Agnes Gale, is determined to find out the truth about what happened. Even if that truth is deadlier than she could have ever believed possible . . ."
A Very Typical Family,"All families are messy. Some are disasters.\n\nNatalie Walker is the reason her older brother and sister went to prison over 15 years ago. She fled California shortly after that fateful night and hasn\'t spoken to anyone in her family since. Now, on the same day her boyfriend steals her dream job out from under her, Natalie receives a letter from a lawyer saying her estranged mother has died and left the family\'s historic Santa Cruz house to her. Sort of. The only way for Natalie and her siblings to inherit is for all three adult children to come back and claim it--together.\n\nNatalie drives cross-country to Santa Cruz with her willful cat in tow expecting to sign some papers, see siblings Lynn and Jake briefly, and get back to sorting out her life in Boston. But Jake, now an award-winning ornithologist, is missing. And Lynn, working as an undertaker in New York City, shows up with a teenage son. While Natalie and her nephew look for Jake--meeting a very handsome marine biologist who immediately captures her heart--she unpacks the guilt she has held onto for so many years, wondering how (or if) she can salvage a relationship with her siblings after all this time.\n\nA Very Typical Family navigates the messy yet warm-hearted journey of a family struggling to find each other again. Written with delightfully dark humor and characters you can\'t help but cheer for, this debut from Sierra Godfrey will have you reveling in the power of family and second chances. No one can change the past, but every day is an opportunity to choose your future.\n\nMore Praise for A Very Typical Family \n\nAn emotional gut punch of a story. Godfrey\'s redemption-seeking narrator is one of the most endearing eccentrics to grace the page since Eleanor Oliphant is Completely Fine and The Cactus. If you like characters who march to their own beats--and who doesn\'t--you\'ll love this rich and compelling story. --Ashley Winstead, author of The Last Housewife\n\nWith wit and a big heart, A Very Typical Family gracefully tackles one messy family\'s rocky path back to one another. Clever, sharply written, and at once darkly funny and tender, Godfrey\'s debut captures what it means to come home in every sense. --Holly James, author of Nothing But the Truth\n\nDarkly humorous and deeply emotional, A Very Typical Family is a timeless story of hope and forgiveness. An impressive debut novel. --Kristin Rockaway, author of Smart Girl Summer"
The Things We Cannot Say,"In 1942, Europe remains in the relentless grip of war. Just beyond the tents of the Russian refugee camp she calls home, a young woman speaks her wedding vows. It’s a decision that will alter her destiny…and it’s a lie that will remain buried until the next century.\n\nSince she was nine years old, Alina Dziak knew she would marry her best friend, Tomasz. Now fifteen and engaged, Alina is unconcerned by reports of Nazi soldiers at the Polish border, believing her neighbors that they pose no real threat, and dreams instead of the day Tomasz returns from college in Warsaw so they can be married. But little by little, injustice by brutal injustice, the Nazi occupation takes hold, and Alina’s tiny rural village, its families, are divided by fear and hate. Then, as the fabric of their lives is slowly picked apart, Tomasz disappears. Where Alina used to measure time between visits from her beloved, now she measures the spaces between hope and despair, waiting for word from Tomasz and avoiding the attentions of the soldiers who patrol her parents’ farm. But for now, even deafening silence is preferable to grief. \n\nSlipping between Nazi-occupied Poland and the frenetic pace of modern life, Kelly Rimmer creates an emotional and finely wrought narrative that weaves together two women’s stories into a tapestry of perseverance, loyalty, love and honor. The Things We Cannot Say is an unshakable reminder of the devastation when truth is silenced…and how it can take a lifetime to find our voice before we learn to trust it."
DCeased,"What happens to the World\'s Finest if the world ends? With death spreading across the planet, who will live and who will turn in this apocalyptic tale of heroism, sacrifice and annihilation?\n\nIt\'s the end of the world as we know it!\n\nSix hundred million people worldwide are instantly turned into violent, monstrous engines of destruction when their minds are recoded with a corrupted Anti-Life Equation from Apokolips. The heroes of Earth are fighting a losing battle to save humanity, save the world and save themselves, in one of the most shocking tales ever told in the DC Universe.\n\nFighting time, each other and all of humanity, Earth\'s greatest heroes must rally together for what may very well be their last chance to save the world from the most terrible plague humanity has ever seen. The Anti-Life Equation has been released and is ravaging the world at the viral speed of social media. Once exposed, victims lose their minds, violently attacking all around them.\n\nThe heroes of Earth are fighting a losing battle to save the world...and themselves! With time running out, who will live and who will die in this apocalyptic tale of heroism, sacrifice and annihilation?\n\nCollects issues #1-6 and DCeased: A Good Day to Die #1"
Portals,"The gripping near-future thriller by the New York Times bestselling author whose books have sold over two million copies.\n\nHidden portals link Earth to numerous other planets. But why do they all contain human civilizations? And why does our nearest neighbor have its sights set on Earth? \n\nNoah Harris and Ashley Flynn are field agents for a powerful organization tasked with protecting humanity from the misuse of game-changing technology. But when they discover hidden portals that link Earth to numerous planets, put in place ages earlier by transcendent beings, they are thrust into a maze of deception and intrigue they can\'t begin to understand. One that not only has them battling for their very lives, but which will decide the fate of worlds.\n\nBecause, inexplicably, each of the planets contain human civilizations. And the human rulers of our nearest portal neighbor, having already conquered their own world, have come up with a brilliant, twisted plan to conquer ours.\n\nAnd only Noah and Ashley stand in their way . . .\n\nPortals is a masterful near-future thriller, one packed with nonstop action, astonishing twists, and mind-blowing concepts.\n\n&quot;Richards is an extraordinary writer,&quot; (Dean Koontz) who can &quot;keep you turning the pages all night long.&quot; (Douglas Preston)\n\n&quot;Richards is a worthy successor to Michael Crichton.&quot; (SF Book dot com)\n\nNEAR-FUTURE SCIENCE FICTION THRILLERS BY DOUGLAS E. RICHARDS\n\nSTANDALONES\nQUANTUM LENS\nGAME CHANGER\nINFINITY BORN\nSEEKER\nVERACITY\nORACLE\nTHE IMMORTALITY CODE\nUNIDENTIFIED\nPORTALS\n\nSERIES\nWIRED (Wired 1)\nAMPED (Wired 2)\n\nMIND\'S EYE (Nick Hall 1)\nBRAINWEB (Nick Hall 2)\nMIND WAR (Nick Hall 3)\n\nSPLIT SECOND(Split Second 1)\nTIME FRAME (Split Second 2)\n\nTHE ENIGMA CUBE (Alien Artifact 1)\nA PIVOT IN TIME (Alien Artifact 2)\n\nKids Science Fiction Thrillers (9 and up, enjoyed by kids and adults alike)\nTRAPPED (Prometheus Project 1)\nCAPTURED (Prometheus Project 2)\nSTRANDED (Prometheus Project 3)\nOUT OF THIS WORLD\nDEVIL\'S SWORD"
"No Plan B (Jack Reacher, #27)","In Gerrardsville, Colorado, a woman dies under the wheels of a moving bus. The death is ruled a suicide. But Jack Reacher saw what really happened: A man in a gray hoodie and jeans, moving stealthily, pushed the victim to her demise, before swiftly grabbing the dead woman’s purse and strolling away. When another homicide is ruled an accident, Reacher knows this is no coincidence. With a killer on the loose, Reacher has no time to waste to track down those responsible.\n\nBut Reacher is unaware that these crimes are part of something much larger and more far-reaching: an arsonist out for revenge, a foster kid on the run, a cabal of powerful people involved in a secret conspiracy with many moving parts. There is no room for error, but they make a grave one. They don’t consider Reacher a threat. “If any step is compromised, the threat will have to be quickly and permanently removed. There’s too much at stake to start running from shadows&quot;. But Reacher isn’t a shadow. He is flesh and blood. And relentless when it comes to making things right. For when the threat is Reacher, there is No Plan B...."
Windfall,"In this newest suspense novel from New York Times bestselling author Wendy Corsi Staub, three friends’ lives terrifyingly unravel when they win a billion-dollar lottery jackpot—and one goes missing. Perfect for fans of novels like Taylor Adams’ No Exit and The Club by Ellery Lloyd.\n\n It was the girls’ weekend they’d never forget.\n\nJ.J., Molly, and Leila had once been inseparable, but it’s been a long time since college, and life—not to mention distance—have disrupted the former roommates’ friendship. When the three reunite for a birthday weekend in Las Vegas, the lottery ticket they buy on a whim has the winning numbers—giving them a billion-dollar windfall. Shell-shocked, they turn to Shea Daniels, a “sudden wealth manager,” who promises to guide them through the pitfalls of having more money than they’d ever imagined.\n\nIt was the girls’ weekend they’d live to regret.\n\nThe trio travels to a secluded California mansion, where Shea and her staff cater to their every whim, promising to teach them to navigate their newfound wealthy lifestyles with ease. The house is luxurious beyond their wildest dreams—and purportedly cursed, the last place a missing movie star was seen alive. Their weekend turns to terror when they discover they are trapped—roads blocked and communication disrupted by the wildfires raging around them. And when history repeats itself and one of them disappears—the one who’s holding the billion-dollar ticket—the others must face the fact that either their friend has betrayed them…or a predator is lurking."
Off with My Head: The Definitive Basic B*tch Handbook to Surviving Rock Bottom,"The year 2020 was going to be the best year of Stassi’s life. Besides getting engaged and feeling like she was on top of the world career-wise, she bought her first house and was planning her dream Italian wedding. The future showed so much freaking promise—until it all went to hell. Stassi may not be perfect—she may have made some (major) mistakes—but she does feel like she has some insight (and plenty of hilarious tales) about getting knocked up, called out, and learning from what went wrong.\n\nThrough stories, confessions, illustrations, and plenty of self-reflection and self-deprecation, this new book goes behind the scenes and addresses the experience of getting cancelled, getting that positive pregnancy test, and saying “I do” in the backyard instead of in Italy. Stassi won’t hold back about her transformation from proud basic bitch to... proud basic bitch who has a deeper appreciation for what’s really important in life: love, relationships, mutual respect, and, okay fine, an Aperol spritz and some showtunes when you need them most.\n\nStassi hopes her story will help others see the light at the end of the tunnel in their own lives and make them laugh along the way. She writes about the importance of having a good cry (at work, in the shower, in your closet), ways to navigate social media responsibly (sometimes that means logging the eff off when crowds are chanting, “OFF WITH HER HEAD”), how to practice self-care when wine is not an option, and how not to become a Bridezilla—plus she’ll offer tips on marrying your f*ckboy, embracing pregnancy sweats (both cashmere sweats and night sweats), and styling baby OOTDs.\n\nSo roll up your bedazzled sleeves…or the sleeves of the tattered robe you’ve been wearing nonstop because you’re at rock bottom; grab a cocktail; and let your favorite (more evolved) basic bitch take you on a wild ride inside the bumpiest year of her life."
"Return of the Lost Bride (Crowns &amp; Kilts, #4)","From New York Times Bestselling author Cynthia Wright comes a thrilling new romance of 16th century Scotland! A PROUD HIGHLANDERDarkly handsome Ciaran MacLeod revels in his life as a Highland warrior. He spends his days training with his comrades at Duntulm Castle on the far cliffs of the Isle of Skye, and takes his pick of smitten lasses. However, Ciaran harbors a secret, passed down from his dead mother, that has caused him to become deeply suspicious of love. He’s grateful he doesn’t have to worry about taking a wife, for the castle is efficiently run by Violette, a plain young Frenchwoman who covers her head with a gable hood and reveals nothing of her own past. SECRETS REVEALEDViolete Pasquiére fled to Scotland to escape a vengeful stepfather. She feels safe on the remote Isle of Skye, disguised in drab clothing and and tending to these strong clan MacLeod men who would be lost without her care. The potent attraction Violette feels for Ciaran MacLeod is just one more secret she keeps.But a threat to Duntulm Castle changes everything, and Ciaran’s elders propose that he marry Judith MacRae to bring additional lands and warriors to the clan. Rebelling against the efforts to control him, Ciaran proposes to Violette instead, setting in motion a passionate series of events that shake not only their future, but challenge their carefully guarded hearts..."
Mansfield Park,"Taken from the poverty of her parents\' home in Portsmouth, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with her cousin Edmund as her sole ally. During her uncle\'s absence in Antigua, the Crawford\'s arrive in the neighbourhood bringing with them the glamour of London life and a reckless taste for flirtation. Mansfield Park is considered Jane Austen\'s first mature work and, with its quiet heroine and subtle examination of social position and moral integrity, one of her most profound."
"The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune","The devolution of the Sullivan Institute, from psychoanalytic organization to insular, radical cult. \n\n\n\nIn the middle of the Ozzie and Harriet 1950s, the birth control pill became available and a maverick psychoanalytic institute, the Sullivan Institute for Research in Psychoanalysis, opened its doors in New York City. Its founders wanted to start a revolution, one grounded in ideals of creative expression, sexual liberation, and freedom from societal norms, and the revolution needed to begin at home. Dismantling the nuclear family--and monogamous marriage--would free kids from the repressive forces of their parents. The movement attracted many brilliant people as patients, including the painter Jackson Pollock and a swarm of other artists, the singer Judy Collins, and the dancer Lucinda Childs. By the 1960s, it had become an urban commune of hundreds of people, with patients living with other patients, leading a creative, polyamorous life.\n\nBy the mid-1970s, under the leadership of its cofounder Saul Newton, it devolved from a radical communal experiment into an insular cult, with therapists controlling virtually every aspect of their patients\' lives, from where they lived to how often they saw their children. Although the group was highly secretive, even after its dissolution in 1991, Alexander Stille has reconstructed the inner life of this hidden parallel world. Through countless interviews and personal papers, The Sullivanians reveals the nearly unbelievable story of a fallen utopia in the heart of New York City."
Wham! George &amp; Me,"Celebrate 40 years of WHAM! with the Sunday Times bestseller from one half of the world\'s most famous bands\n\n\'I couldn\'t put it down. Such a fantastic book\' Chris Evans, Virgin Radio\n________\n\nSchool mates. Band mates. Soul mates . . .\n\nWhen Andrew Ridgley took George Michael, the new boy at school, under his wing, he discovered a soul mate.\n\nIn Wham! George and Me , Andrew tells the story of how they rode a rollercoaster of success around the world while making iconic records and surviving superstardom with their friendship intact. It is a memoir of love, music, the flamboyant 1980s and living in a pop hurricane.\n\nNo one else can ever tell their story - because no one else was there . . .\n\nForty years on from their explosion into pop music, Andrew Ridgeley tells the inside story of Wham!, his life-long friendship with George Michael and the formation of a band that changed music.\n________\n\n\'A joyous celebration of the Wham! years. For anyone who was a teenager in the early 1980s, it will take you on a nostalgia trip. It\'s an honest but affectionate account of a remarkable duo who remained true to their origins and their friendship throughout it all\' Daily Express\n\n\'As infectious as their music\' Daily Mirror\n\n\'A remarkably generous memoir. In more than one sense, the biography of a friend\' Spectator\n\n\'A great story\' Saturday Live , Radio 4\n\n\'A lovely book. A love letter to George\' Graham Norton, BBC One\n\n\'Charming, heartfelt . . . there\'s a real poignancy to Ridgeley\'s description of Wham!\'s glory days\' Sunday Times"
Loot,"A spellbinding historical novel set in the eighteenth a hero’s quest, a love story, the story of a young artist coming of age, and an exuberant heist adventure that traces the bloody legacy of colonialism across two continents and fifty years. A wildly inventive, irresistible feat of storytelling from a writer at the height of her powers.\n\n&quot; Loot held me spellbound from the first page. This is an expertly-plotted, deeply affecting novel about war, displacement, emigration, and an elusive mechanical tiger.” —Maggie O’Farrell, best-selling author of Hamnet and The Marriage Portrait\n\nAbbas is just seventeen years old when his gifts as a woodcarver come to the attention of Tipu Sultan, and he is drawn into service at the palace in order to build a giant tiger automaton for Tipu’s sons, a gift to commemorate their return from British captivity. His fate—and the fate of the wooden tiger he helps create—will mirror the vicissitudes of nations and dynasties ravaged by war across India and Europe.\n\nWorking alongside the legendary French clockmaker Lucien du Leze, Abbas hones his craft, learns French, and meets Jehanne, the daughter of a French expatriate.  When Du Leze is finally permitted to return home to Rouen, he invites Abbas to come along as his apprentice. But by the time Abbas travels to Europe, Tipu’s palace has been looted by British forces, and the tiger automaton has disappeared. To prove himself, Abbas must retrieve the tiger from an estate in the English countryside, where it is displayed in a collection of plundered art."
"A Curse So Dark and Lonely (Cursebreakers, #1)","An alternative cover edition for this ISBN can be found here.\n\nFall in love, break the curse.\n\nCursed by a powerful enchantress to repeat the autumn of his eighteenth year, Prince Rhen, the heir of Emberfall, thought he could be saved easily if a girl fell for him. But that was before he turned into a vicious beast hell-bent on destruction. Before he destroyed his castle, his family, and every last shred of hope.\n\nNothing has ever been easy for Harper. With her father long gone, her mother dying, and her brother constantly underestimating her because of her cerebral palsy, Harper learned to be tough enough to survive. When she tries to save a stranger on the streets of Washington, DC, she\'s pulled into a magical world.\n\nBreak the curse, save the kingdom.\n\nHarper doesn\'t know where she is or what to believe. A prince? A curse? A monster? As she spends time with Rhen in this enchanted land, she begins to understand what\'s at stake. And as Rhen realizes Harper is not just another girl to charm, his hope comes flooding back. But powerful forces are standing against Emberfall . . . and it will take more than a broken curse to save Harper, Rhen, and his people from utter ruin."
"Cooking at Home: Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave): A Cookbook","The chef of Momofuku cooks at home . . . and that means breaking the rules that chefs, magazines, and everyone else tell you about, so you can get a great dinner done fast.\n \nBeing a chef can make you the worst kind of home cook. Either you’re too fussy when dinner just needs to be on the table or, as Momofuku chef Dave Chang will tell you about his early years in the industry, you just . . . never cook at home. \n \nBut now, with a family to feed, Dave faces the same challenges as any home cook: how to make something as delicious as possible, in the least amount of time possible, with as little mess as possible. It’s no time for meticulous searing or searching for the perfect medium rare. \n \nThis is his guide to the culinary dark arts of substituting, adapting, shortcutting, and sandbagging, like par-cooking chicken in the microwave before showing you seven ways to blast it with flavor in a four-minute stir-fry or a ten-minute stew, because he is as tired as you are of doing things the hard way"
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,"In Atlas of the Heart, Brown takes us on a journey through eighty-seven of the emotions and experiences that define what it means to be human. As she maps the necessary skills and an actionable framework for meaningful connection, she gives us the language and tools to access a universe of new choices and second chances—a universe where we can share and steward the stories of our bravest and most heartbreaking moments with one another in a way that builds connection. \n\nOver the past two decades, Brown\'s extensive research into the experiences that make us who we are has shaped the cultural conversation and helped define what it means to be courageous with our lives. Atlas of the Heart draws on this research, as well as on Brown\'s singular skills as a storyteller, to show us how accurately naming an experience doesn\'t give the experience more power, it gives us the power of understanding, meaning, and choice. \n\nBrown shares, &quot;I want this book to be an atlas for all of us, because I believe that, with an adventurous heart and the right maps, we can travel anywhere and never fear losing ourselves.&quot;"
"You Did This (Claire Wolfe, #1)","A sister’s worst nightmare. A homicide detective’s destiny.\n\nEverybody loves Claire’s little sister, Tina. But only Claire sees the twisted psychopath hiding behind her sister’s angelic face. When Tina is brutally murdered on her fourteenth birthday, the day Claire failed to walk her home from school, Claire never forgives herself. And neither does their mother.\n\nTwelve years later, more girls turn up dead in Newburgh exactly like Tina. Claire, now a police detective, suspects that her sister’s murderer is still on the prowl. But the serial killer stumps the FBI forensic profiler assisting the case and Special Agent Robert Cline—Claire’s old flame.\n\nWhen Claire becomes the lead suspect in the murder investigation, the system turns against her. Unable to trust anyone—not even herself—Claire must break every rule in the book to save the next girl.\n\nWith time running out in this nerve-shredding psychological thriller and harrowing family drama, a shocking discovery changes everything. Is Claire’s sister truly dead—or is she playing one final lethal prank?\n\nYOU DID THIS is the first book in the Claire Wolfe Thrillers series and can be read as a standalone mystery. Fans of Mike Omer, Robert Dugoni, Melinda Leigh, and Karin Slaughter should get to know Claire Wolfe."
"Advanced Physical Chemistry (Chemistry Lessons, #3)","After four lousy boyfriends in a row, chemical engineer Penny Popplestone swears off men until she can figure out why they keep cheating on her. But her no-men resolution hits a snag when the mysterious and superhumanly hot barista at her favorite coffee shop strikes up a friendship with her. \n\nPenny strives to keep things platonic, but when Caleb gives her the kiss of her life, she realizes he wants to be more than just friends. Tired of always being “good little Penny,” she throws caution to the wind and pursues a no-strings fling with the hottie barista. It’s not like they have anything in common beyond scorching physical chemistry, so what does she have to lose? \n\nOnly her heart.\n\nNow, this fanfic-reading, plus-size heroine faces an unsolvable problem. What do you do when being apart is unbearable…but being together is impossible?\n\nAdvanced Physical Chemistry is the third in a series of standalone rom-coms featuring geeky heroines who work in STEM fields."
Eerie Tales from the School of Screams,"From the director of the Oscar-nominated movie Boxtrolls comes a middle grade horror anthology that will leave you holding onto your blankets for dear life! Perfect for fans of Scary Stories to Tell in the Dark and Goosebumps !\n\nSchool is tough.\nSchool is scary.\nSchool is EERIE .\n\nNo one knows this better than Davis and Emily. But they’re not scared of school because of tough tests or merciless vice-principals. No, they’re scared because their teacher wants her students to present the class with the spookiest, most chilling stories they can think of.\n\nFrom the twisted mind of Graham Annable comes five horrifying stories that will scare your skeleton right out of your skin. Are you ready to stare down “The Face in the Forest”? Do you think you can handle the truth behind “The Village that Vanished?”\n\nLock the doors, turn on all the lights, and arm yourself with candy― you’ll need all the help you can get to face these nightmares."
